,idx_artist_mbtags,year
0,0,2001
1,0,1984
2,0,0
3,0,0
4,0,2010
5,0,2000
6,0,0
7,0,0
8,0,2000
9,0,0
10,0,2003
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,1998
17,0,1999
18,0,1974
19,0,2006
20,0,0
21,0,2006
22,0,2006
23,0,0
24,0,0
25,0,2006
26,0,0
27,0,0
28,0,0
29,0,0
30,0,2006
31,0,2004
32,0,0
33,0,0
34,0,0
35,0,2009
36,0,0
37,0,1973
38,0,2009
39,0,0
40,0,0
41,0,0
42,0,2004
43,0,2006
44,0,0
45,0,0
46,0,0
47,0,0
48,0,1967
49,0,2003
50,0,0
51,0,2003
52,0,0
53,0,1969
54,0,0
55,0,0
56,0,0
57,0,1971
58,0,0
59,0,2005
60,0,2006
61,0,0
62,0,0
63,0,0
64,0,0
65,0,2005
66,0,0
67,0,0
68,0,0
69,0,1961
70,0,2007
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,1999
78,0,2008
79,0,0
80,0,2006
81,0,1985
82,0,0
83,0,0
84,0,1930
85,0,1999
86,0,2006
87,0,2003
88,0,2001
89,0,0
90,0,0
91,0,2007
92,0,0
93,0,0
94,0,0
95,0,0
96,0,2009
97,0,1997
98,0,0
99,0,0
100,0,0
101,0,2002
102,0,0
103,0,1983
104,0,2002
105,0,2008
106,0,0
107,0,2000
108,0,2007
109,0,0
110,0,0
111,0,1989
112,0,2005
113,0,0
114,0,0
115,0,0
116,0,0
117,0,1980
118,0,1984
119,0,2007
120,0,0
121,0,2002
122,0,0
123,0,0
124,0,1995
125,0,1991
126,0,2001
127,0,0
128,0,2009
129,0,0
130,0,0
131,0,0
132,0,0
133,0,2003
134,0,1991
135,0,2003
136,0,2007
137,0,1992
138,0,2007
139,0,0
140,0,1975
141,0,2006
142,0,0
143,0,0
144,0,0
145,0,1927
146,0,0
147,0,1992
148,0,1980
149,0,2003
150,0,0
151,0,2000
152,0,0
153,0,2007
154,0,0
155,0,0
156,0,1997
157,0,2005
158,0,1989
159,0,1997
160,0,0
161,0,0
162,0,0
163,0,1999
164,0,0
165,0,0
166,0,1998
167,0,0
168,0,1998
169,0,2008
170,0,1999
171,0,0
172,0,2005
173,0,0
174,0,2009
175,0,0
176,0,2007
177,0,0
178,0,0
179,0,2006
180,0,1998
181,0,1987
182,0,1998
183,0,2005
184,0,0
185,0,0
186,0,0
187,0,2003
188,0,0
189,0,2003
190,0,1993
191,0,0
192,0,0
193,0,0
194,0,1981
195,0,0
196,0,0
197,0,0
198,0,0
199,0,1997
200,0,0
201,0,0
202,0,0
203,0,0
204,0,2006
205,0,0
206,0,0
207,0,0
208,0,0
209,0,2003
210,0,0
211,0,1968
212,0,1989
213,0,2002
214,0,1994
215,0,0
216,0,0
217,0,1989
218,0,0
219,0,0
220,0,2001
221,0,2005
222,0,2000
223,0,0
224,0,1992
225,0,0
226,0,0
227,0,2003
228,0,2003
229,0,0
230,0,1996
231,0,1967
232,0,2007
233,0,1967
234,0,0
235,0,2000
236,0,0
237,0,1996
238,0,0
239,0,0
240,0,2001
241,0,2004
242,0,2002
243,0,0
244,0,1993
245,0,0
246,0,0
247,0,0
248,0,0
249,0,1995
250,0,0
251,0,1992
252,0,0
253,0,0
254,0,0
255,0,1995
256,0,0
257,0,0
258,0,2003
259,0,1990
260,0,0
261,0,0
262,0,2006
263,0,2004
264,0,1982
265,0,0
266,0,1992
267,0,1977
268,0,0
269,0,2005
270,0,2002
271,0,0
272,0,0
273,0,0
274,0,0
275,0,2006
276,0,2003
277,0,2004
278,0,2005
279,0,2002
280,0,0
281,0,2005
282,0,0
283,0,0
284,0,1995
285,0,0
286,0,2002
287,0,0
288,0,2003
289,0,0
290,0,2003
291,0,0
292,0,2004
293,0,0
294,0,2000
295,0,0
296,0,0
297,0,2007
298,0,1994
299,0,1983
300,0,0
301,0,2004
302,0,1994
303,0,0
304,0,2009
305,0,0
306,0,2006
307,0,0
308,0,2001
309,0,2008
310,0,0
311,0,2003
312,0,0
313,0,0
314,0,0
315,0,1963
316,0,0
317,0,0
318,0,0
319,0,2009
320,0,2003
321,0,0
322,0,2006
323,0,0
324,0,2000
325,0,0
326,0,0
327,0,1992
328,0,0
329,0,0
330,0,1990
331,0,1968
332,0,0
333,0,0
334,0,2004
335,0,0
336,0,1960
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,2002
344,0,0
345,0,1956
346,0,0
347,0,0
348,0,1997
349,0,0
350,0,0
351,0,1989
352,0,0
353,0,1996
354,0,0
355,0,0
356,0,0
357,0,1996
358,0,0
359,0,0
360,0,1980
361,0,0
362,0,0
363,0,0
364,0,1993
365,0,1999
366,0,1987
367,0,0
368,0,2004
369,0,1992
370,0,0
371,0,0
372,0,0
373,0,0
374,0,2008
375,0,2008
376,0,1986
377,0,0
378,0,0
379,0,2005
380,0,2009
381,0,1994
382,0,0
383,0,2010
384,0,1986
385,0,0
386,0,0
387,0,1991
388,0,0
389,0,1991
390,0,0
391,0,0
392,0,2005
393,0,0
394,0,0
395,0,2008
396,0,1992
397,0,0
398,0,2009
399,0,2007
400,0,0
401,0,0
402,0,2004
403,0,0
404,0,0
405,0,0
406,0,0
407,0,2008
408,0,0
409,0,2010
410,0,1993
411,0,1999
412,0,2004
413,0,2005
414,0,1971
415,0,2005
416,0,2008
417,0,0
418,0,1985
419,0,0
420,0,0
421,0,0
422,0,0
423,0,0
424,0,1990
425,0,0
426,0,1955
427,0,1997
428,0,0
429,0,1992
430,0,2009
431,0,1980
432,0,0
